incident_uuid,facility_name,risk_score,thermal_intensity,distance_to_facility,persistence_ratio,confidence_score,wind_speed,temperature,cloud_cover,population_exposure,infrastructure_exposure,environmental_exposure,thermal_anomaly_ratio,abnormality_score,ground_truth_label
CLUSTER_003,Hazira Heavy Industrial & Steel Complex,93.16,92.7,110.7,0.021,0.8,2.4,26.5,2,2,2,0,5.15,60.3,TRUE_FIRE
CLUSTER_052,MRPL Mangalore Refinery,89.93,74.5,0.0,0.021,0.8,4.0,27.2,100,0,0,0,4.26,57.4,UNLABELED
CLUSTER_027,NTPC Khavda,88.06,94.41,0.0,0.021,0.8,9.1,26.5,1,0,0,0,7.87,63.0,UNLABELED
CLUSTER_048,SAIL Bhilai Steel Plant,87.92,76.5,115.1,0.021,0.8,5.2,26.1,38,0,0,0,3.33,54.1,UNLABELED
CLUSTER_026,NTPC Khavda,86.35,87.99,0.0,0.021,0.8,9.1,26.5,1,0,0,0,7.33,63.0,UNLABELED
CLUSTER_039,MIDC Taloja Chemical Zone,82.12,98.6,637.0,0.021,0.8,2.8,25.4,22,2,0,0,8.57,63.0,UNLABELED
CLUSTER_047,Tata Steel Jamshedpur Works,70.41,54.0,557.2,0.062,0.8,3.5,25.8,58,0,0,0,2.25,64.1,UNLABELED
CLUSTER_043,Bhiwadi RIICO Industrial Cluster,66.54,89.2,18228.3,0.021,0.8,4.9,25.1,0,0,0,0,8.92,63.0,UNLABELED
CLUSTER_046,IOCL Paradip Refinery Complex,62.69,46.5,12.7,0.104,0.8,1.5,28.2,9,1,0,0,2.27,58.9,UNLABELED
CLUSTER_009,ArcelorMittal Nippon Steel India,60.35,19.9,0.0,0.229,0.8,2.4,26.4,2,0,0,0,1.66,79.5,UNLABELED
CLUSTER_042,IOCL Panipat Petrochemical Complex,60.3,38.2,0.0,0.104,0.8,0.6,25.5,0,1,0,0,1.82,55.1,UNLABELED
CLUSTER_053,BPCL Kochi Refinery (Ambalamugal),58.48,34.0,0.0,0.062,0.8,3.3,25.1,87,0,0,0,2.0,47.8,UNLABELED
CLUSTER_025,Dholera Solar Park,52.6,32.57,0.0,0.021,0.8,5.9,25.5,2,0,0,0,2.71,35.8,UNLABELED
CLUSTER_054,HPCL Visakhapatnam Refinery,52.16,37.0,302.4,0.042,0.8,5.9,26.2,35,0,0,0,2.31,41.1,UNLABELED
CLUSTER_002,Reliance Industries Ltd. Dahej Plant,51.92,12.5,0.0,0.062,0.8,6.7,27.7,5,1,0,0,0.86,23.8,UNLABELED
CLUSTER_001,Jamnagar Petroleum Refining Complex,51.65,29.1,2286.5,0.104,0.8,4.9,25.9,2,1,0,0,1.29,63.0,UNLABELED
