latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
22.4707,70.0577,348.5,0.38,0.36,2026-08-20,830,N,VIIRS,nominal,2.0NRT,298.2,14.2,D
22.4712,70.0581,352.1,0.38,0.36,2026-08-21,815,N,VIIRS,nominal,2.0NRT,299.0,16.5,D
22.4709,70.0579,355.8,0.39,0.37,2026-08-22,800,N,VIIRS,high,2.0NRT,301.4,18.9,D
22.4708,70.0578,360.2,0.38,0.36,2026-08-23,845,N,VIIRS,high,2.0NRT,303.1,22.4,D
22.471,70.058,368.7,0.38,0.36,2026-08-24,820,N,VIIRS,high,2.0NRT,305.5,29.1,D
21.6834,72.5692,342.3,0.4,0.37,2026-08-22,800,N,VIIRS,nominal,2.0NRT,296.8,11.8,D
21.6839,72.5695,345.1,0.39,0.36,2026-08-23,845,N,VIIRS,nominal,2.0NRT,297.4,12.5,D
21.6836,72.569,344.8,0.4,0.37,2026-08-24,820,N,VIIRS,nominal,2.0NRT,297.0,12.1,D
21.1685,72.6954,375.4,0.38,0.36,2026-08-24,820,N,VIIRS,high,2.0NRT,310.2,68.4,D
21.1691,72.696,388.9,0.38,0.36,2026-08-24,2045,N,VIIRS,high,2.0NRT,318.6,92.7,N
23.8512,71.2145,335.2,0.42,0.38,2026-08-23,845,N,VIIRS,nominal,2.0NRT,294.0,5.6,D
23.859,71.228,332.8,0.42,0.38,2026-08-24,820,N,VIIRS,low,2.0NRT,293.1,4.2,D
22.312,73.1812,341.0,0.39,0.36,2026-08-21,815,N,VIIRS,nominal,2.0NRT,295.5,8.7,D
22.3125,73.1818,343.4,0.38,0.36,2026-08-22,800,N,VIIRS,nominal,2.0NRT,296.2,9.4,D
22.3122,73.1815,342.9,0.39,0.36,2026-08-23,845,N,VIIRS,nominal,2.0NRT,295.8,9.0,D
19.0112,72.892,348.2,0.38,0.36,2026-08-20,0830,N,VIIRS,nominal,2.0NRT,298.0,24.5,D
19.0115,72.8922,351.0,0.38,0.36,2026-08-21,0815,N,VIIRS,nominal,2.0NRT,299.1,27.2,D
19.011,72.8918,353.4,0.38,0.36,2026-08-22,0800,N,VIIRS,high,2.0NRT,300.5,31.0,D
19.0114,72.8921,356.1,0.38,0.36,2026-08-23,0845,N,VIIRS,high,2.0NRT,301.8,33.8,D
19.0113,72.8919,358.5,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,302.2,36.5,D
19.0734,73.1182,382.4,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,312.0,74.2,D
19.0738,73.1186,394.0,0.38,0.36,2026-08-24,2045,N,VIIRS,high,2.0NRT,322.5,98.6,N
19.821,72.695,344.0,0.38,0.36,2026-08-22,0800,N,VIIRS,nominal,2.0NRT,296.8,18.2,D
19.8214,72.6955,346.5,0.38,0.36,2026-08-23,0845,N,VIIRS,nominal,2.0NRT,298.0,21.4,D
19.8212,72.6952,349.8,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,299.4,25.4,D
19.45,74.2,332.0,0.38,0.36,2026-08-23,0845,N,VIIRS,nominal,2.0NRT,293.0,4.8,D
29.412,76.924,349.5,0.38,0.36,2026-08-20,0830,N,VIIRS,nominal,2.0NRT,298.5,26.5,D
29.4123,76.9242,352.8,0.38,0.36,2026-08-21,0815,N,VIIRS,nominal,2.0NRT,299.8,29.4,D
29.4119,76.9238,355.2,0.38,0.36,2026-08-22,0800,N,VIIRS,high,2.0NRT,301.0,32.8,D
29.4122,76.9241,358.4,0.38,0.36,2026-08-23,0845,N,VIIRS,high,2.0NRT,302.5,35.6,D
29.4121,76.9239,361.0,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,303.8,38.2,D
28.354,76.942,378.0,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,310.5,68.5,D
28.3545,76.9425,389.5,0.38,0.36,2026-08-24,2045,N,VIIRS,high,2.0NRT,319.0,89.2,N
27.422,77.691,346.0,0.38,0.36,2026-08-21,0815,N,VIIRS,nominal,2.0NRT,297.2,21.0,D
27.4224,77.6915,348.5,0.38,0.36,2026-08-22,0800,N,VIIRS,nominal,2.0NRT,298.5,24.8,D
27.4222,77.6912,354.0,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,300.8,32.5,D
29.12,76.35,334.5,0.38,0.36,2026-08-23,0845,N,VIIRS,nominal,2.0NRT,294.0,5.6,D
20.284,86.632,352.0,0.38,0.36,2026-08-20,0830,N,VIIRS,nominal,2.0NRT,299.5,31.0,D
20.2843,86.6322,355.4,0.38,0.36,2026-08-21,0815,N,VIIRS,nominal,2.0NRT,301.2,35.8,D
20.2839,86.6318,359.0,0.38,0.36,2026-08-22,0800,N,VIIRS,high,2.0NRT,303.0,40.2,D
20.2842,86.6321,362.5,0.38,0.36,2026-08-23,0845,N,VIIRS,high,2.0NRT,304.8,43.5,D
20.2841,86.6319,366.0,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,306.0,46.5,D
22.783,86.211,358.0,0.38,0.36,2026-08-21,0815,N,VIIRS,high,2.0NRT,302.0,38.5,D
22.7834,86.2114,363.0,0.38,0.36,2026-08-22,0800,N,VIIRS,high,2.0NRT,304.5,44.2,D
22.7832,86.2112,369.5,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,308.0,54.0,D
21.185,81.385,384.0,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,314.0,82.0,D
21.1855,81.3855,393.2,0.38,0.36,2026-08-24,2045,N,VIIRS,high,2.0NRT,321.8,96.5,N
22.062,88.081,349.0,0.38,0.36,2026-08-22,0800,N,VIIRS,nominal,2.0NRT,298.8,27.5,D
22.0625,88.0815,357.2,0.38,0.36,2026-08-24,0820,N,VIIRS,high,2.0NRT,302.4,39.0,D
21.55,85.3,333.0,0.38,0.36,2026-08-23,0845,N,VIIRS,nominal,2.0NRT,293.5,5.1,D
13.164,80.261,347.5,0.38,0.36,2026-08-20,0830,N,VIIRS,nominal,2.0NRT,297.8,24.0,D
13.1644,80.2613,351.0,0.38,0.36,2026-08-21,0815,N,VIIRS,nominal,2.0NRT,299.0,28.5,D
13.1639,80.2608,354.5,0.38,0.36,2026-08-22,0800,N,VIIRS,high,2.0NRT,300.5,33.2,D
