id,latitude,longitude,brightness,bright_t31,acq_date,acq_time,frp,confidence,confidence_normalized,daynight,satellite,instrument,stream_type,state,region_code,in_industrial_zone,distance_to_industry_meters,nearest_facility_name,nearest_facility_type,osm_id,spatial_context,proximity_risk_factor,cluster_id,persistence_ratio,active_days_count,total_window_days,is_anomaly_spike,thermal_contrast,label,label_name,label_source,label_confidence,label_date,source_reference,reviewer,review_notes,risk_score,risk_level,incident_classification,action_code
1,22.4707,70.0577,348.5,298.2,2026-08-20,0830,14.2,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,2286.5,Jamnagar Petroleum Refining Complex,oil_refinery,national_jamnagar_petroleum_r,VICINITY_ZONE,0.4,CLUSTER_001,0.093,5,54,True,50.30000000000001,0.0,PERSISTENT_INDUSTRIAL_SOURCE,VALIDATED_SATELLITE_CATALOG,0.9,2026-08-20,CAT-JAMNAGAR-ROUTINE-FLARE-STACK-001,Petrochemical Environmental Audit,Continuous routine hydrocarbon safety flare stack operational emissions.,51.65,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
2,22.4712,70.0581,352.1,299.0,2026-08-21,0815,16.5,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,2355.6,Jamnagar Petroleum Refining Complex,oil_refinery,national_jamnagar_petroleum_r,VICINITY_ZONE,0.4,CLUSTER_001,0.093,5,54,True,53.10000000000002,0.0,PERSISTENT_INDUSTRIAL_SOURCE,VALIDATED_SATELLITE_CATALOG,0.9,2026-08-21,CAT-JAMNAGAR-ROUTINE-FLARE-STACK-001,Petrochemical Environmental Audit,Continuous routine hydrocarbon safety flare stack operational emissions.,51.65,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
3,22.4709,70.0579,355.8,301.4,2026-08-22,0800,18.9,high,0.9,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,2316.7,Jamnagar Petroleum Refining Complex,oil_refinery,national_jamnagar_petroleum_r,VICINITY_ZONE,0.4,CLUSTER_001,0.093,5,54,True,54.400000000000034,0.0,PERSISTENT_INDUSTRIAL_SOURCE,VALIDATED_SATELLITE_CATALOG,0.9,2026-08-22,CAT-JAMNAGAR-ROUTINE-FLARE-STACK-001,Petrochemical Environmental Audit,Continuous routine hydrocarbon safety flare stack operational emissions.,51.65,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
4,22.4708,70.0578,360.2,303.1,2026-08-23,0845,22.4,high,0.9,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,2301.6,Jamnagar Petroleum Refining Complex,oil_refinery,national_jamnagar_petroleum_r,VICINITY_ZONE,0.4,CLUSTER_001,0.093,5,54,True,57.099999999999966,0.0,PERSISTENT_INDUSTRIAL_SOURCE,VALIDATED_SATELLITE_CATALOG,0.9,2026-08-23,CAT-JAMNAGAR-ROUTINE-FLARE-STACK-001,Petrochemical Environmental Audit,Continuous routine hydrocarbon safety flare stack operational emissions.,51.65,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
5,22.471,70.058,368.7,305.5,2026-08-24,0820,29.1,high,0.9,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,2331.8,Jamnagar Petroleum Refining Complex,oil_refinery,national_jamnagar_petroleum_r,VICINITY_ZONE,0.4,CLUSTER_001,0.093,5,54,True,63.19999999999999,0.0,PERSISTENT_INDUSTRIAL_SOURCE,VALIDATED_SATELLITE_CATALOG,0.9,2026-08-24,CAT-JAMNAGAR-ROUTINE-FLARE-STACK-001,Petrochemical Environmental Audit,Continuous routine hydrocarbon safety flare stack operational emissions.,51.65,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
6,21.6834,72.5692,342.3,296.8,2026-08-22,0800,11.8,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,True,0.0,Reliance Industries Ltd. Dahej Plant,general_industry,way/116807431,INSIDE_INDUSTRIAL_ZONE,1.0,CLUSTER_002,0.056,3,54,False,45.5,,UNLABELED,UNVERIFIED,,,,,,51.92,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
7,21.6839,72.5695,345.1,297.4,2026-08-23,0845,12.5,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,True,0.0,Reliance Industries Ltd. Dahej Plant,general_industry,way/116807431,INSIDE_INDUSTRIAL_ZONE,1.0,CLUSTER_002,0.056,3,54,False,47.700000000000045,,UNLABELED,UNVERIFIED,,,,,,51.92,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
8,21.6836,72.569,344.8,297.0,2026-08-24,0820,12.1,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,True,0.0,Reliance Industries Ltd. Dahej Plant,general_industry,way/116807431,INSIDE_INDUSTRIAL_ZONE,1.0,CLUSTER_002,0.056,3,54,False,47.80000000000001,,UNLABELED,UNVERIFIED,,,,,,51.92,MODERATE,RECURRING_INTERMITTENT_HEAT,ANALYST_REVIEW_RECOMMENDED
9,21.1685,72.6954,375.4,310.2,2026-08-24,0820,68.4,high,0.9,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,110.7,Hazira Heavy Industrial & Steel Complex,steel_and_heavy_industry,national_hazira_heavy_industr,NEARBY_INDUSTRIAL_BUFFER,0.8,CLUSTER_003,0.019,1,54,True,65.19999999999999,,UNLABELED,UNVERIFIED,,,,,,93.16,CRITICAL,SEVERE_THERMAL_ANOMALY,HIGH_PRIORITY_INVESTIGATION_REQUIRED
10,21.1691,72.696,388.9,318.6,2026-08-24,2045,92.7,high,0.9,N,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,141.5,Unnamed Industrial Facility,general_industry,way/104647204,NEARBY_INDUSTRIAL_BUFFER,0.8,CLUSTER_003,0.019,1,54,True,70.29999999999995,,UNLABELED,UNVERIFIED,,,,,,93.16,CRITICAL,SEVERE_THERMAL_ANOMALY,HIGH_PRIORITY_INVESTIGATION_REQUIRED
