id,latitude,longitude,brightness,bright_t31,acq_date,acq_time,frp,confidence,confidence_normalized,daynight,satellite,instrument,stream_type,state,region_code,in_industrial_zone,distance_to_industry_meters,nearest_facility_name,nearest_facility_type,osm_id,spatial_context,proximity_risk_factor,cluster_id,persistence_ratio,active_days_count,total_window_days,is_anomaly_spike,thermal_contrast,label,label_name,label_source,label_confidence,label_date,source_reference,reviewer,review_notes,risk_score,risk_level,incident_classification,action_code
6,21.6834,72.5692,342.3,296.8,2026-08-22,0800,11.8,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,True,0.0,Reliance Industries Ltd. Dahej Plant,general_industry,way/116807431,INSIDE_INDUSTRIAL_ZONE,1.0,CLUSTER_002,0.062,3,48,False,45.5,,UNLABELED,UNVERIFIED,,,,,,51.92,MODERATE,RECURRING_INTERMITTENT_HEAT,ROUTINE_MONITORING
7,21.6839,72.5695,345.1,297.4,2026-08-23,0845,12.5,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,True,0.0,Reliance Industries Ltd. Dahej Plant,general_industry,way/116807431,INSIDE_INDUSTRIAL_ZONE,1.0,CLUSTER_002,0.062,3,48,False,47.700000000000045,,UNLABELED,UNVERIFIED,,,,,,51.92,MODERATE,RECURRING_INTERMITTENT_HEAT,ROUTINE_MONITORING
8,21.6836,72.569,344.8,297.0,2026-08-24,0820,12.1,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,True,0.0,Reliance Industries Ltd. Dahej Plant,general_industry,way/116807431,INSIDE_INDUSTRIAL_ZONE,1.0,CLUSTER_002,0.062,3,48,False,47.80000000000001,,UNLABELED,UNVERIFIED,,,,,,51.92,MODERATE,RECURRING_INTERMITTENT_HEAT,ROUTINE_MONITORING
9,21.1685,72.6954,375.4,310.2,2026-08-24,0820,68.4,high,0.9,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,110.7,Hazira Heavy Industrial & Steel Complex,steel_and_heavy_industry,national_hazira_heavy_industr,NEARBY_INDUSTRIAL_BUFFER,0.8,CLUSTER_003,0.021,1,48,True,65.19999999999999,,UNLABELED,UNVERIFIED,,,,,,93.16,CRITICAL,INDUSTRIAL_FIRE_OUTBREAK,EMERGENCY_DISPATCH
10,21.1691,72.696,388.9,318.6,2026-08-24,2045,92.7,high,0.9,N,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,141.5,Unnamed Industrial Facility,general_industry,way/104647204,NEARBY_INDUSTRIAL_BUFFER,0.8,CLUSTER_003,0.021,1,48,True,70.29999999999995,,UNLABELED,UNVERIFIED,,,,,,93.16,CRITICAL,INDUSTRIAL_FIRE_OUTBREAK,EMERGENCY_DISPATCH
11,23.8512,71.2145,335.2,294.0,2026-08-23,0845,5.6,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,39256.1,Unnamed Industrial Facility,general_industry,way/984065809,NON_INDUSTRIAL_RURAL,0.1,CLUSTER_004,0.021,1,48,False,41.19999999999999,,UNLABELED,UNVERIFIED,,,,,,20.43,LOW,NON_INDUSTRIAL_RURAL,BACKGROUND_LOG
12,23.859,71.228,332.8,293.1,2026-08-24,0820,4.2,low,0.2,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,38566.6,Unnamed Industrial Facility,general_industry,way/984065809,NON_INDUSTRIAL_RURAL,0.1,CLUSTER_005,0.021,1,48,False,39.69999999999999,,UNLABELED,UNVERIFIED,,,,,,19.77,LOW,NON_INDUSTRIAL_RURAL,BACKGROUND_LOG
13,22.312,73.1812,341.0,295.5,2026-08-21,0815,8.7,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,724.6,Food Storage Depot,depot,way/1530442730,NEARBY_INDUSTRIAL_BUFFER,0.8,CLUSTER_006,0.062,3,48,False,45.5,,UNLABELED,UNVERIFIED,,,,,,35.32,MODERATE,RECURRING_INTERMITTENT_HEAT,ROUTINE_MONITORING
14,22.3125,73.1818,343.4,296.2,2026-08-22,0800,9.4,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,650.8,Unnamed Industrial Facility,storage_tank,way/719056984,NEARBY_INDUSTRIAL_BUFFER,0.8,CLUSTER_006,0.062,3,48,False,47.19999999999999,,UNLABELED,UNVERIFIED,,,,,,35.32,MODERATE,RECURRING_INTERMITTENT_HEAT,ROUTINE_MONITORING
15,22.3122,73.1815,342.9,295.8,2026-08-23,0845,9.0,nominal,0.6,D,N,VIIRS,historical,Gujarat,WEST_GUJARAT,False,689.8,Unnamed Industrial Facility,storage_tank,way/719056984,NEARBY_INDUSTRIAL_BUFFER,0.8,CLUSTER_006,0.062,3,48,False,47.099999999999966,,UNLABELED,UNVERIFIED,,,,,,35.32,MODERATE,RECURRING_INTERMITTENT_HEAT,ROUTINE_MONITORING
