latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
22.92897,70.10838,342.39,0.39,0.59,2026-08-06,922,N,VIIRS,n,2.0NRT,293.05,6.02,D
22.92664,70.10907,333.56,0.39,0.44,2026-08-07,902,N,VIIRS,n,2.0NRT,292.97,3.96,D
22.60662,70.24954,331.84,0.39,0.36,2026-08-08,843,N,VIIRS,n,2.0NRT,300.49,2.24,D
24.32291,72.46162,332.77,0.46,0.39,2026-08-08,843,N,VIIRS,n,2.0NRT,295.39,4.09,D
20.90929,71.46087,308.1,0.42,0.37,2026-08-08,2112,N,VIIRS,n,2.0NRT,293.55,2.48,N
22.93194,69.69582,309.33,0.38,0.36,2026-08-08,2112,N,VIIRS,n,2.0NRT,293.87,1.91,N
22.93406,69.70388,308.32,0.38,0.36,2026-08-08,2112,N,VIIRS,n,2.0NRT,294.25,1.88,N
22.93524,69.69643,319.89,0.38,0.36,2026-08-08,2112,N,VIIRS,n,2.0NRT,294.08,1.91,N
23.26628,70.25836,317.52,0.38,0.36,2026-08-08,2112,N,VIIRS,n,2.0NRT,294.58,1.92,N
21.05272,72.85251,305.92,0.39,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,281.49,0.73,N
21.05607,72.85309,308.76,0.39,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,281.79,0.73,N
21.10189,72.63857,299.87,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,277.11,2.43,N
21.10246,72.63474,334.79,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,276.12,2.43,N
21.10411,72.6468,327.81,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,281.03,2.5,N
21.10468,72.64297,304.37,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,279.26,2.5,N
21.10583,72.63531,301.51,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,276.58,0.95,N
21.10748,72.64737,337.04,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,284.79,2.5,N
21.10805,72.64354,305.64,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,281.4,2.5,N
21.10862,72.63972,304.99,0.4,0.37,2026-08-09,2053,N,VIIRS,n,2.0NRT,281.09,0.95,N
22.33633,69.86706,296.59,0.53,0.42,2026-08-09,2053,N,VIIRS,n,2.0NRT,276.09,0.94,N
22.41452,69.03976,305.86,0.39,0.44,2026-08-09,2053,N,VIIRS,n,2.0NRT,291.91,2.56,N
22.93463,69.69802,308.32,0.55,0.42,2026-08-09,2053,N,VIIRS,n,2.0NRT,292.47,1.61,N
23.26503,70.2586,300.98,0.52,0.41,2026-08-09,2053,N,VIIRS,n,2.0NRT,283.85,0.45,N
23.31598,70.48666,304.72,0.5,0.41,2026-08-09,2053,N,VIIRS,n,2.0NRT,287.01,1.34,N
20.86897,70.56341,304.13,0.47,0.4,2026-08-09,2055,N,VIIRS,n,2.0NRT,288.58,1.22,N
