latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
20.35746,72.95112,310.17,0.51,0.41,2026-09-16,2042,N,VIIRS,n,2.0NRT,290.57,0.73,N
21.10248,72.64323,304.86,0.54,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,290.56,5.92,N
21.10314,72.63384,333.46,0.55,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,292.01,19.9,N
21.10318,72.63799,326.28,0.54,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,291.71,5.92,N
21.10388,72.63271,330.15,0.55,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,290.73,12.4,N
21.10505,72.65024,305.8,0.54,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,290.79,11.63,N
21.10572,72.64497,340.61,0.54,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,292.51,11.63,N
21.10963,72.64555,306.28,0.54,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,291.24,4.81,N
21.11097,72.63501,309.85,0.55,0.42,2026-09-16,2042,N,VIIRS,n,2.0NRT,291.62,5.53,N
21.10249,72.63689,367,0.38,0.59,2026-09-17,754,N,VIIRS,h,2.0NRT,292.62,9.37,D
21.10482,72.64775,343.6,0.38,0.59,2026-09-17,754,N,VIIRS,n,2.0NRT,293.04,6.57,D
21.10117,72.63416,347.21,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,289.41,6.23,N
21.10167,72.6454,305.38,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,289.03,1.57,N
21.10278,72.63486,350.06,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,289.59,5.74,N
21.10547,72.64535,344.2,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,290.06,7.41,N
21.1065,72.6348,304.79,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,289.14,2.02,N
21.10699,72.64602,340.1,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,290.47,6.14,N
21.1081,72.6355,313.63,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,289.45,1.76,N
21.11183,72.63544,319.84,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,289.3,2.02,N
21.11343,72.63612,310.65,0.36,0.57,2026-09-17,2021,N,VIIRS,n,2.0NRT,289.62,1.76,N
21.43239,72.97762,321.76,0.34,0.56,2026-09-17,2021,N,VIIRS,n,2.0NRT,288.68,1.98,N
